npsn,nama_sekolah,jenis_sekolah,kode_kabupaten,nama_kabupaten,kode_provinsi,nama_provinsi,akreditasi_sekolah,tanggal_mulai_akreditasi,tanggal_kadaluarsa,nilai_akreditasi,kepemilikan,sumber_data_nilai
10100113,SMK NEGERI 1 KOTA JANTHO,SMK,060100,Kab. Aceh Besar,060000,Prov. Aceh,A,30-11-2022,31-12-2027,93,Pemerintah Daerah,Isi Manual
10100186,SMA NEGERI 1 KRUENG BARONA JAYA,SMA,060100,Kab. Aceh Besar,060000,Prov. Aceh,A,11-04-2025,31-12-2029,0,Pemerintah Daerah,Isi Manual
10100191,SMA Negeri 1 Lhoong,SMA,060100,Kab. Aceh Besar,060000,Prov. Aceh,B,22-07-2024,31-12-2029,0,Pemerintah Daerah,Isi Manual
10100195,SMA NEGERI 1 INGIN JAYA,SMA,060100,Kab. Aceh Besar,060000,Prov. Aceh,A,06-01-2025,06-01-2030,0,Pemerintah Daerah,Isi Manual
10100196,SMA NEGERI 1 INDRAPURI,SMA,060100,Kab. Aceh Besar,060000,Prov. Aceh,A,30-11-2022,18-11-2027,92,Pemerintah Daerah,Isi Manual
10100540,SMA NEGERI 1 SAKTI,SMA,060200,Kab. Pidie,060000,Prov. Aceh,B,22-07-2024,31-12-2029,0,Pemerintah Daerah,Isi Manual
10100559,SMA NEGERI 1 MUTIARA,SMA,060200,Kab. Pidie,060000,Prov. Aceh,A,22-07-2024,31-12-2029,0,Pemerintah Daerah,Isi Manual
10100564,SMAN 1 TANGSE,SMA,060200,Kab. Pidie,060000,Prov. Aceh,A,08-12-2021,31-12-2021,0,Pemerintah Pusat,Isi Manual
10100570,SMA NEGERI 1 BANDAR DUA,SMA,062000,Kab. Pidie Jaya,060000,Prov. Aceh,B,30-09-2022,18-11-2027,82,Pemerintah Daerah,Isi Manual
10100571,SMAN 1 GEUMPANG,SMA,060200,Kab. Pidie,060000,Prov. Aceh,A,08-12-2021,31-12-2021,0,Pemerintah Daerah,Isi Manual
