id_jurusan,nama_jurusan
00000050,Ilmu Pengetahuan Sosial (IPS)
00000095,MIPA
00000100,Ilmu Pengetahuan Sosial
00000501,Keagamaan Islam
10020,Teknik Ketenagalistrikan
10024,Teknik Mesin
10044,Teknik Otomotif
10048,Teknik Elektronika
10131,Teknologi Konstruksi dan Properti
11014,Teknik Konstruksi dan Perumahan
11016,Desain Pemodelan dan Informasi Bangunan
12010,Teknik Mesin
12012,Teknik Otomotif
12014,Teknik Pengelasan dan Fabrikasi Logam
12018,Teknik Elektronika
13010,Teknik Ketenagalistrikan
13014,Teknik Geospasial
15052,Teknik Komputer dan Informatika
16010,Pengembangan Perangkat Lunak dan Gim
16012,Teknik Jaringan Komputer dan Telekomunikasi
21010,Layanan Kesehatan
21014,Teknologi Farmasi
21141,Keperawatan
21171,Farmasi
25191,Agribisnis Tanaman
25201,Agribisnis Ternak
25211,Agribisnis Pengolahan Hasil Pertanian
26010,Agribisnis Tanaman
26012,Agribisnis Ternak
26014,Agribisnis Perikanan
26018,Agriteknologi Pengolahan Hasil Pertanian
31251,Perikanan
35010,Pemasaran
35012,Manajemen Perkantoran dan Layanan Bisnis
35014,Akuntansi dan Keuangan Lembaga
35271,Bisnis dan Pemasaran
35281,Manajemen Perkantoran
35291,Akuntansi dan Keuangan
40100,Tata Busana
40416,Kuliner
40418,Kecantikan dan Spa
47012,Desain Komunikasi Visual
47014,Desain dan Produksi Kriya
47018,Broadcasting dan Perfilman
47022,Busana
60411,Geologi Pertambangan
M0000000,Umum
