nomor_pendaftaran,semester,kode_mata_pelajaran,wajib,tingkat,nilai,nilai_validasi_tka,tahun_kur,unit,kkm,asal_sekolah
426290615,1,300230000,FALSE,12,89.00,81.95,2023,JAM,0.00,
426236699,2,999800703,FALSE,10,84.00,74.49,2013,JAM,72.00,
426143464,2,999800703,FALSE,10,80.00,69.65,2013,JAM,72.00,
426094440,2,999800702,FALSE,11,84.00,74.41,2013,JAM,75.00,
426250429,1,999800703,FALSE,12,92.00,81.64,2013,JAM,75.00,
426041468,2,401900000,TRUE,10,95.00,85.74,2023,JAM,0.00,
426331794,1,999800706,FALSE,12,86.00,73.89,2023,JAM,0.00,
426341571,1,999800709,TRUE,10,70.00,61.83,2023,JAM,0.00,
426132686,2,200010300,TRUE,11,89.00,77.15,2023,JAM,0.00,
426234399,1,200010300,TRUE,11,90.00,77.07,2023,JAM,0.00,
426128833,2,200010300,TRUE,11,76.00,67.67,2023,JAM,0.00,
426155155,1,999800709,TRUE,12,82.00,75.97,2023,JAM,0.00,
426073142,1,300001,FALSE,13,90.00,77.06,2013,JAM,75.00,
426110016,1,999800709,FALSE,10,78.00,68.77,2013,JAM,70.00,
426248193,1,999800703,FALSE,12,93.00,81.48,2013,JAM,75.00,
426341623,1,200010300,TRUE,10,83.00,76.55,2023,JAM,0.00,
426246300,2,999800716,TRUE,11,93.00,79.05,2023,JAM,0.00,
426330042,2,999800703,FALSE,11,92.00,88.06,2023,JAM,0.00,
426201469,1,999800711,TRUE,10,88.00,83.44,2023,JAM,0.00,
426130102,2,999800701,TRUE,11,90.00,77.34,2023,JAM,0.00,
426212726,1,999800702,TRUE,11,83.00,73.87,2023,JAM,0.00,
426066748,1,999800711,FALSE,12,90.00,77.84,2013,JAM,75.00,
426056469,2,999800408,TRUE,11,98.00,84.02,2023,JAM,0.00,
426139471,2,999800709,TRUE,11,88.00,75.65,2023,JAM,0.00,
426202748,1,999800702,TRUE,11,85.00,80.35,2023,JAM,0.00,
426254636,2,999800713,TRUE,11,97.00,82.50,2013,JAM,70.00,
426072541,2,999800716,TRUE,11,88.00,80.50,2023,JAM,0.00,
426145609,2,999800701,FALSE,11,84.00,73.25,2013,JAM,78.00,
426341623,2,SPR,TRUE,10,83.00,76.55,2023,JAM,0.00,
426016047,2,999800716,TRUE,11,90.00,77.68,2023,JAM,0.00,
426043452,1,999800703,FALSE,11,83.00,74.65,2023,JAM,0.00,
426141980,1,999800408,TRUE,11,90.00,77.15,2023,JAM,0.00,
426341810,2,401121000,FALSE,11,87.00,78.62,2023,JAM,0.00,
426189810,1,300310100,FALSE,12,91.00,79.02,2023,JAM,0.00,
426124425,2,999800702,TRUE,11,91.00,77.66,2023,JAM,0.00,
426224945,2,999800711,TRUE,11,90.00,86.44,2023,JAM,0.00,
426178761,1,999800715,FALSE,10,80.00,69.67,2013,JAM,65.00,
