nomor_pendaftaran,kode_mata_pelajaran,nilai_tka
426348441,300110000,49.28
426243866,401250100,25.68
426326729,300210000,5.00
426418237,300110000,45.95
426740515,401000000,30.66
426378805,300210000,25.88
426271892,300110000,52.63
426217150,401121000,54.64
426397176,401000000,26.21
426679042,300110000,52.94
426202748,300110000,63.87
426361398,401110200,46.99
426470475,401250100,5.00
426745224,401121000,47.83
426680978,401241000,57.07
426540960,300210000,46.36
426717603,401000000,27.34
426410701,401110200,68.97
426128331,401000000,25.38
426130368,401130000,25.81
426072541,300110000,57.86
426171194,600070100,41.39
426257890,401000000,34.04
426704850,401000000,29.65
426242547,300110000,49.75
426337104,401000000,58.30
426232808,300110000,71.71
426632395,300210000,20.87
426141367,300210000,5.00
426132659,300110000,44.85
426166678,300110000,41.53
426819454,600070100,58.22
426247446,401130100,37.82
426030667,401110200,61.96
426626835,401002000,30.13
426545705,300130000,56.96
426754878,401241000,60.11
426182243,300110000,54.34
426537562,401241000,44.46
426747254,401241000,59.60
426236238,401000000,35.59
426815380,401000000,35.22
426214654,401250100,35.60
426616262,300210000,5.00
426297113,300110000,66.22
426404937,300210000,53.26
426343267,300210000,24.45
426350723,300110000,63.48
426611475,401220000,70.12
426831271,401000000,28.02
426053137,300210000,5.00
426336511,300110000,70.87
426409395,300210000,24.40
426237505,300210000,23.52
426398355,300210000,5.00
426711097,200010300,70.70
426550308,401000000,33.07
426800513,300210000,15.71
426025805,300110000,43.07
426625668,300210000,30.80
426593268,401110200,53.00
426660953,401130100,28.39
426263105,401250100,68.29
426628048,401241000,79.65
426152899,300210000,23.41
426619203,300110000,53.55
426535782,300210000,29.19
426766888,401250100,43.94
426333045,401230000,45.52
426822375,401000000,41.35
426126302,300210000,5.00
426717603,300110000,31.12
426623515,401130000,41.98
426388863,401000000,34.09
426520740,300210000,5.00
426540771,300110000,64.20
426480677,401110200,50.81
426579785,401002000,52.16
426345020,401110200,38.64
426220697,300210000,30.48
426762352,300110000,64.19
426534184,300130000,54.48
426754878,401110200,66.45
426519588,200010000,78.88
426524786,401130100,42.04
426568258,300110000,5.00
426475313,300110000,56.94
426024722,600070100,57.35
426389227,300210000,5.00
426632156,300210000,27.42
426770160,300210000,23.72
426379524,300210000,20.45
426064006,300210000,38.44
426540771,401110200,52.02
426376135,401241000,35.25
426571007,300110000,68.34
426017125,300210000,22.84
426256521,401121000,41.88
426476968,401220000,61.31
426138533,300110000,43.35
426575002,300110000,40.20
426345317,401130000,40.28
426472532,300110000,37.52
426526161,200010300,43.87
426380261,401000000,36.63
426187507,200010300,76.58
426764104,401000000,34.47
426016354,300110000,64.85
426593268,401130100,21.75
426395211,300210000,45.02
426804045,200010300,85.40
426397159,300110000,56.66
426277154,401121000,40.88
426378750,401002000,42.49
426201469,401000000,50.77
426698323,300110000,62.08
426260602,401000000,35.30
426216442,300210000,43.43
426432686,401000000,25.87
426127104,401130100,25.17
426349620,401000000,36.24
426393936,401000000,28.87
426690383,401250100,31.46
426622988,300130000,65.17
426640226,300110000,69.08
426606898,300210000,8.79
426066748,600070100,54.70
426625704,401250100,22.04
426130688,600070100,73.88
426315804,401110200,58.37
426183055,300210000,18.90
426598806,300210000,16.21
426071761,401240000,54.10
426687928,401250100,49.44
426641168,401241000,50.48
426141212,401130100,32.42
426062287,300110000,71.94
426597969,600070100,31.28
426728408,300210000,11.37
426136340,300210000,5.00
426138107,401121000,85.24
426588816,401002000,41.10
426472140,401220000,59.08
426376135,300210000,26.03
426719879,401000000,49.16
426639261,300110000,66.03
426259068,300210000,24.63
426535924,300210000,29.67
426796613,401000000,43.31
426198270,300110000,72.57
426570769,401220000,72.28
