kode_prodi,nomor_pendaftaran,no_urut_pilihan
11131023,426688804,1
11131020,426151862,1
11131005,426011384,1
11131023,426017974,1
11131013,426015299,1
11131013,426010393,1
11131013,426231051,1
11131016,426015218,1
11131023,426011307,1
11131003,426070582,1
11131013,426555889,1
11131022,426037663,1
11131025,426041679,1
11131022,426015716,1
11131023,426069973,1
11131023,426060272,1
11131013,426458207,1
11131022,426003489,1
11131023,426073194,1
11131012,426251132,1
11131007,426110983,1
11131001,426076792,1
11131016,426151886,1
11131019,426047588,1
11131001,426073142,1
11131002,426061790,1
11131005,426464811,1
11131023,426069743,1
11131001,426083408,1
11131023,426425269,1
11131017,426341677,1
11131015,426369583,1
11131004,426107184,1
11131007,426556699,1
11131005,426128508,1
11131009,426464576,1
11131003,426128331,1
11131001,426286043,1
11131022,426116046,1
11131023,426010203,1
11131020,426688633,1
11131013,426002957,1
11131012,426144313,1
11131013,426398624,1
11131012,426128050,1
11131010,426128593,1
11131025,426336130,1
11131023,426130102,1
11131023,426130368,1
11131003,426130323,1
11131013,426129660,1
11131020,426130112,1
11131007,426136652,1
11131002,426129299,1
11131015,426280838,1
11131023,426147708,1
11131002,426047571,1
11131001,426148033,1
11131007,426137555,1
11131007,426131340,1
11131018,426148788,1
11131026,426122730,1
11131024,426011055,1
11131027,426132450,1
11131007,426141212,1
11131013,426140485,1
11131022,426139664,1
11131007,426170155,1
11131001,426133049,1
11131013,426234048,1
11131023,426149325,1
11131004,426146957,1
11131007,426148143,1
11131004,426114391,1
11131001,426147659,1
11131007,426149305,1
11131007,426134579,1
11131013,426142253,1
11131019,426134613,1
11131002,426146152,1
11131019,426151386,1
11131023,426120311,1
11131002,426141931,1
11131023,426134743,1
11131018,426136340,1
11131023,426135799,1
11131013,426147037,1
11131007,426171269,1
11131007,426140665,1
11131023,426143464,1
11131013,426143411,1
11131013,426144491,1
11131003,426140216,1
11131013,426150332,1
11131023,426140775,1
11131013,426339521,1
11131023,426150001,1
11131015,426163934,1
11131002,426151189,1
11131005,426137117,1
11131011,426138784,1
11131005,426139077,1
11131013,426232272,1
11131023,426025075,1
11131009,426168373,1
11131005,426617445,1
11131012,426243819,1
11131010,426178761,1
11131016,426141613,1
11131013,426138229,1
11131003,426126351,1
11131018,426072861,1
11131004,426234473,1
11131018,426571503,1
11131019,426280613,1
11131017,426332782,1
11131023,426137924,1
11131019,426147715,1
11131005,426167955,1
11131017,426250954,1
11131005,426021642,1
11131016,426147208,1
11131013,426354498,1
11131012,426126302,1
11131013,426143551,1
11131001,426519452,1
11131023,426174900,1
11131023,426179348,1
11131024,426216442,1
11131013,426147847,1
11131013,426180066,1
11131001,426242054,1
11131018,426255508,1
11131001,426252862,1
11131006,426004350,1
11131012,426171194,1
11131020,426187507,1
11131012,426153178,1
11131023,426218958,1
11131013,426234901,1
11131002,426412823,1
11131019,426245952,1
11131022,426333054,1
11131013,426247135,1
11131013,426257642,1
11131024,426232944,1
11131007,426260635,1
11131019,426248490,1
11131013,426152631,1
11131022,426237594,1
11131007,426236699,1
11131016,426234723,1
11131007,426336086,1
11131012,426248792,1
11131016,426473507,1
11131016,426145843,1
11131012,426244713,1
11131022,426465487,1
11131013,426076743,1
11131023,426225084,1
11131018,426248193,1
11131007,426257127,1
11131015,426239185,1
11131018,426329536,1
11131012,426246002,1
11131007,426255910,1
11131012,426167887,1
11131025,426237505,1
11131006,426253481,1
11131012,426146409,1
11131013,426769597,1
11131013,426237239,1
11131013,426243866,1
11131013,426620333,1
11131007,426255025,1
11131023,426071761,1
11131020,426257890,1
11131007,426238672,1
11131022,426246066,1
11131013,426238722,1
11131022,426233237,1
11131002,426253613,1
11131013,426263105,1
11131002,426166678,1
11131007,426329985,1
11131024,426264230,1
11131022,426234141,1
11131015,426342452,1
11131012,426348194,1
11131007,426326729,1
11131007,426279230,1
11131001,426208577,1
11131020,426408797,1
11131019,426613960,1
11131016,426470230,1
11131007,426306569,1
11131023,426286201,1
11131012,426330042,1
11131023,426131654,1
11131026,426265999,1
11131024,426033315,1
11131023,426230480,1
11131019,426127394,1
11131023,426070852,1
11131003,426201469,1
11131001,426236238,1
11131012,426556566,1
11131018,426292698,1
