nomor_pendaftaran,no_prestasi,jenis_prestasi,jenjang_prestasi,individu_berkelompok,lembaga_pemberi_prestasi,tahun,nilai_prestasi,deskripsi,file_sertifikat
426000542,1,Pramuka/Organisasi Ekstrakurikuler,Internasional,Individu,District 1 sumbagut,2024,45,Kursus pengembangan kepemimpinan,426000542_1
426003552,1,Olimpiade Astronomi & Astrofisika,Kabupaten/Kota,Individu,Dinas Pendidikan Cabang Dinas Wilayah Kabupaten Aceh Barat.,2025,35,juara 1 lomba osn astronomi,426003552_1
426003643,1,Seni Rupa/Lukis,Kabupaten/Kota,Individu,Cabang Dinas Pendidikan Wilayah Aceh Barat,2025,30,Juara 2 Lomba Fotografi Tingkat Kabupaten Dalam Ajang FLS3N,426003643_1
426003643,2,Olimpiade (Lainnya),Nasional,Individu,Lembaga Kompetisi Indonesia,2026,45,Medali Emas Kompetisi Bahasa Inggris SMA Tingkat Nasional 2026 yang diselenggarakan oleh Lembaga Kompetisi Indonesia,426003643_2
426008949,1,Olimpiade Ekonomi,Propinsi,Individu,Kompetisi Festival Olimpiade 2026. PT. Talenta Muda Bangsa.,2026,40,Juara 1 tingkat provinsi,426008949_1
426008949,2,Olimpiade Geografi,Propinsi,Individu,Kompetisi Festival Olimpiade 2026. PT. Talenta Muda Bangsa.,2026,40,Juara 2 tingkat provinsi,426008949_2
426008949,3,Olimpiade Ekonomi,Nasional,Individu,Kompetisi Festival Olimpiade 2026. PT. Talenta Muda Bangsa,2026,45,Predikat Medali Emas.,426008949_3
426010203,1,Olimpiade Fisika,Kabupaten/Kota,Individu,CABANG DINAS PENDIDIKAN KABUPATEN ACEH BARAT,2025,35,Juara 2 OSN Fisika Kabupaten Aceh barat Tahun 2025 dan Peserta OSN FISIKA tingkat Provinsi,426010203_1
426010203,2,Penelitian,Propinsi,Berkelompok,UNIVERSITAS TEUKU UMAR,2025,25,"Juara IV 3rd Virtual Engineering, Science and Technology innovation competition",426010203_2
426010203,3,Drama/Sastra,Kabupaten/Kota,Individu,DINAS PERPUSTAKAAN DAN KEARSIPAN KABUPATEN ACEH BARAT,2025,30,WAKIL 1 RATU BACA ACEH BARAT TAHUN 2025,426010203_3
426010280,1,Olahraga,Kabupaten/Kota,Individu,cabang dinas pendidikan wilayah kabupaten aceh barat,2025,30,sebagai peserta lomba (O2SN) cabang olahraga karate putri,426010280_1
426010280,2,Seni Suara/Musik,Kabupaten/Kota,Individu,cabang dinas pendidikan wilayah kabupaten aceh barat,2025,30,sebagai peserta (FLS3N) bidang lomba gitar solo,426010280_2
426010393,1,Olimpiade Matematika,Propinsi,Individu,PEMERINTAH ACEH Dinas pendidikan aceh barat,2025,40,Juara 1 OSN-k MATEMATIKA (blm diberi sertifikat) LOLOS sebagai grand final OSN-P,426010393_1
426010393,2,Penelitian,Propinsi,Individu,LINGKAR INSPIRASI BANGSA,2025,35,DUTA SISWA ACEH 2025 KEPRIBADIAN UTAMA PUTRI,426010393_2
426010393,3,Olimpiade Matematika,Kabupaten/Kota,Individu,CIVIL RACE AND EXHIBITION KE-8TH Himpunan mahasiswa teknik sipil Fakultas teknik UNIVERSITAS TEUKU UMAR,2025,35,PESERTA OFIKA BIDANG MATEMATIKA CRANE KE-8TH,426010393_3
426011384,1,Olahraga,Propinsi,Individu,Pengurus Ikatan Pencak Silat Indonesia Provinsi Riau,2026,35,Juara 1 kejuaraan Pencak Silat Riau Championship IV,426011384_1
426011384,2,Olahraga,Kabupaten/Kota,Individu,"Dinas Kebudayaan, Pemuda dan Olahraga Serta Pariwisata kabupaten Deli Serdang",2024,30,juara 2 Pekan Olahraga dan Seni Pesantren,426011384_2
426015089,1,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kota,Berkelompok,Badan Pembinaan Ideologi Pancasila,2024,20,Berperan Sebagai Pasukan Pengibar Bendera Pusaka (PASKIBRAKA) Tingkat Kabupaten tahun 2024,426015089_1
426016354,1,Olimpiade (Lainnya),Nasional,Individu,PUSAT OLIMPIADE SAINS INDONESIA,2026,45,PERAIH MEDALI PERAK DARI 305 PESERTA DALAM KOMPETISI YANG DISELENGGARAKAN OLEH POSI,426016354_1
426016354,2,Olimpiade Matematika,Nasional,Individu,PUSAT OLIMPIADE SAINS INDONESIA,2026,45,PERAIH MEDALI PERAK DARI 400 PESERTA DALAM KOMPETISI YANG DISELENGGARAKAN OLEH POSI,426016354_2
426016354,3,Olimpiade Fisika,Nasional,Individu,PUSAT OLIMPIADE SAINS INDONESIA,2026,45,PERAIH MEDALI PERUNGGU DARI 203 PESERTA DALAM KOMPETISI YANG DISELENGGARAKAN OLEH POSI,426016354_3
426018314,1,Olimpiade Astronomi & Astrofisika,Propinsi,Individu,Cabang Dinas Pendidikan Wilayah Kabupaten Aceh Barat,2025,40,Finalis Olimpiade Sains Nasional (OSN) Tingkat Provinsi Aceh Jenjang SMA/MA Tahun 2025,426018314_1
426021642,1,Olimpiade Ekonomi,Propinsi,Individu,Politeknik Negeri Media Kreatif Medan,2024,40,Peraih Medali Perak Bidang Ekonomi Olimpiade Sains Dan Teknologi Yang Di Selenggarakan Oleh Politeknik Negeri Media Kreatif Medan,426021642_1
426023770,1,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kota,Individu,Sma plus alwahid,2024,30,Menjadi ketua pramuka di pangkalan,426023770_1
426023770,2,Pramuka/Organisasi Ekstrakurikuler,Nasional,Berkelompok,institut pendidikan indonesi,2025,30,menjuarai barak terbersih dan peserta terfavorit,426023770_2
426023770,3,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kota,Berkelompok,Sma plus alwahid,2025,20,menjadi pasukan pengibaran,426023770_3
426025068,1,Olimpiade Geografi,Propinsi,Individu,Dinas Pendidikan Aceh,2025,40,Peserta Olimpiade Sains Nasional (OSN) Bidang Geografi tingkat Provinsi Aceh tahun 2025,426025068_1
426029449,1,Drama/Sastra,Kabupaten/Kota,Individu,CABANG DINAS PENDIDIKAN WILAYAH KABUPATEN ACEH TENGGARA,2025,30,"&#34;Saya adalah Juara 1 Lomba Monolog pada ajang FLS2N Tingkat Kabupaten Aceh Tenggara yang diselenggarakan oleh Dinas Pendidikan pada Juli 2025. Pencapaian ini merupakan bukti kemampuan saya dalam seni peran, penguasaan panggung, serta komunikasi publik yang efektif. Melalui kompetisi ini, saya telah mengasah kedisiplinan dan kepercayaan diri untuk tampil secara profesional di depan audiens.&#34;",426029449_1
426029449,2,Olahraga,Kabupaten/Kota,Individu,CABANG DINAS PENDIDIKAN WILAYAH KABUPATEN ACEH TENGGARA,2025,30,"&#34;Saya adalah Juara 2 cabang olahraga Renang pada ajang Olimpiade Olahraga Siswa Nasional (O2SN) Tingkat Kabupaten Aceh Tenggara yang diselenggarakan oleh Dinas Pendidikan pada Juli 2025. Pencapaian ini merupakan hasil dari dedikasi dan latihan fisik yang disiplin, serta mencerminkan kemampuan saya dalam berkompetisi secara sportif dan berorientasi pada target di tingkat daerah.&#34;",426029449_2
426029909,1,Olimpiade (Lainnya),Kabupaten/Kota,Individu,"Direktur kurikulum, sarana,kelembagaan, dan kesiswaan madrasah",2022,35,Juara 1 tingkat kabupaten/kota,426029909_1
426029909,2,Olimpiade (Lainnya),Kabupaten/Kota,Berkelompok,MAN 1 Aceh barat,2023,25,juara harapan,426029909_2
426029909,3,Olimpiade (Lainnya),Kabupaten/Kota,Individu,Mtss SERAMBI MEKKAH,2022,35,Juara 1,426029909_3
426037663,1,Olimpiade (Lainnya),Kabupaten/Kota,Individu,osn,2022,35,peringkat pertama osn bidang ips dari SMP se-Aceh barat,426037663_1
426041679,1,Olahraga,Kabupaten/Kota,Individu,kabupaten aceh barat,2019,30,juara 1 atletik,426041679_1
426043452,1,Olimpiade (Lainnya),Kabupaten/Kota,Individu,Kpm dri 4 uin ar Raniry Banda aceh,2021,35,Juara 2 lomba adzan tingkat tpq,426043452_1
426043452,2,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kota,Individu,Puskesmas Johan pahlawan dan SMA negeri 2 meulaboh,2026,30,Ketua pmr SMA negeri 2 meulaboh,426043452_2
426043452,3,Olimpiade (Lainnya),Kabupaten/Kota,Individu,TPQ Ar rafif,2021,35,Juara 2 adzan,426043452_3
426051492,1,Penelitian,Kabupaten/Kota,Individu,Andrias Eko Susanto,2025,30,Pelatihan Memasuki Dunia Kerja,426051492_1
426054046,1,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kota,Berkelompok,BADAN KESATUAN BANGSA DAN POLITIK,2024,20,Pasukan Pengibar Bendera Pusaka,426054046_1
426056469,1,Olimpiade (Lainnya),Nasional,Individu,SMART SCIENCE &amp; SOCIAL CHALLENGE,2024,45,Meraih medali perak,426056469_1
426056469,2,Olimpiade Biologi,Nasional,Individu,SMART SCIENCE &amp; SOCIAL CHALLENGE,2024,45,Meraih medali perunggu,426056469_2
426056469,3,Olimpiade Kimia,Nasional,Individu,Meraih medali perunggu,2024,45,Meraih medali perunggu,426056469_3
426058054,1,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kota,Individu,Cabang Dinas Pendidikan Aceh Wilayah Kabupaten Gayo Lues,2025,30,Juara 3 (dari 7 Orang) Lomba Menulis Cerpen,426058054_1
426065148,1,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kota,Berkelompok,KESBANGPOL KABUPATEN NAGAN RAYA,2024,20,paskibraka kabupaten Nagan Raya,426065148_1
426065148,2,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kota,Berkelompok,KORAMIL Kec.kuala Kab.nagan raya,2024,20,Lomba PBB tingkat SMA,426065148_2
426065148,3,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kota,Individu,SMAN 2 KUALA kab.nagan raya,2024,30,kepala bidang sosial,426065148_3
426066748,1,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kota,Individu,Pangkalan smk negeri 1 panga,2023,30,Peserta terhebat gerakan Pramuka gugus depan aceh jaya,426066748_1
426066748,2,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kota,Individu,Sekolah SMK NEGERI 1 PANGA,2025,30,"Juara 2 di kelas XII ATPH pada semester ganjil tahun pelajaran 2025/2026 dengan nilai rata-rata 87,33 pada jenjang sekolah smk negeri 1 panga",426066748_2
426066748,3,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kota,Individu,Sekolah SMK NEGERI 1 PANGA,2025,30,"Juara 2 di kelas XII ATPH pada semester genap tahun pelajaran 2024/2025 dengan nilai rata-rata 88,00 pada jenjang sekolah SMK NEGERI 1 PANGA",426066748_3
426070582,1,Olahraga,Kabupaten/Kota,Individu,Kesbangpol Aceh Barat,2024,30,Paskibraka 2024 Aceh Barat,426070582_1
426070582,2,Seni Suara/Musik,Kabupaten/Kota,Individu,Bank Indonesia,2024,30,Juara 3 Lomba Videografis,426070582_2
426071182,1,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kota,Berkelompok,Kepala kepolisian resor aceh jaya,2023,20,Menjadi sebagai peserta kambtibmas,426071182_1
426071182,2,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kota,Individu,Pangkalan SMK Negeri 1 Panga,2023,30,Peserta terhebat gerakan pramuka gugus depan aceh jaya,426071182_2
426071182,3,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kota,Individu,Sekolah SMK Negeri 1 Panga,2025,30,Juara umum di semester ganjil kelas XII ATPH di jenjang sekolah smk Negeri 1 pang,426071182_3
426071761,1,Seni Tari,Kabupaten/Kota,Individu,aceh barat,2023,30,juara harapan 2,426071761_1
426071761,2,Olimpiade (Lainnya),Kabupaten/Kota,Individu,Aceh Barat,2025,35,Peringkat Semenjana,426071761_2
426072541,1,Olimpiade Matematika,Kabupaten/Kota,Individu,UTU(UNIVERSITAS TEUKU UMAR) MAHASISWA TEKNIK SIPIL,2023,35,OFIKA(OLIMPIADE FISIKA DAN MATEMATIKA),426072541_1
426072541,2,Olimpiade Biologi,Propinsi,Individu,POSI,2023,40,Juara 2 seaceh,426072541_2
426073805,1,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kota,Individu,SMA NEGERI 1 CALANG,2024,30,Organisasi OSIS sebagai bendahara,426073805_1
426073805,2,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kota,Individu,Saka pengawasan obat dan makanan Aceh,2023,30,Peserta kepramukaan Saka pom ( saka pengawasan obat dan makanan Aceh),426073805_2
426073805,3,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kota,Individu,"Dinas pemberdayaan masyarakat, perempuan, dan keluarga berencana kabupaten Aceh jaya",2023,30,Organisasi forum anak Aceh jaya,426073805_3
426076535,1,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kota,Berkelompok,Gerakan pramuka,2025,20,Panitia perkemahan,426076535_1
426076535,2,Seni Suara/Musik,Kabupaten/Kota,Berkelompok,Panitia Peringatan Hari Ulang Tahun Kemerdekaan Republik Indonesia ke-80,2025,20,Peserta Paduan Suara Kec. Ujung Padang Kab. Simalungun pada upacara memperingati HUT RI KE-80,426076535_2
426076535,3,Seni Suara/Musik,Kabupaten/Kota,Berkelompok,SMA Negeri 1 Ujung Padang,2026,20,Anggota paduan suara,426076535_3
426076743,1,Olahraga,Kabupaten/Kota,Individu,PJ.Bupati Aceh Barat,2023,30,juara 2 lomba lompat jauh,426076743_1
426078463,1,Seni Rupa/Lukis,Propinsi,Individu,Universitas Samudra,2025,35,Juara 1 (Lomba Desain Poster yang diselenggaran oleh Universitas Samudra),426078463_1
426078463,2,Seni Rupa/Lukis,Propinsi,Individu,Universitas Samudra,2024,35,Juara 1 (Lomba Desain Poster yang diselenggaran oleh Universitas Samudra),426078463_2
426083408,1,Olimpiade Matematika,Kabupaten/Kota,Individu,Universitas Teuku Umar,2025,35,Mengikuti lomba ofika bidang teknik tingkat kabupaten Aceh Barat Selatan yang di selenggarakan Universitas Teuku Umar,426083408_1
426088298,1,Seni Tari,Kabupaten/Kota,Berkelompok,Cabang Dinas kabupaten Aceh Barat,2025,20,Juara 2 FLS3N seni tari kreasi,426088298_1
426088298,2,Olimpiade (Lainnya),Kabupaten/Kota,Berkelompok,Universitas Syiah Kuala,2025,25,Top 10 finalis dari 80 peserta kelompok se-Aceh lomba industrial contenst i-sat,426088298_2
426094440,1,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kota,Individu,Sekolah,2023,30,Peserta terhebat dari pramuka,426094440_1
